8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
20667842,9983503,2168306,7731212,6640914,6019088,3174837,1848127,4755460,23190403,7004727,278073,0,17486,266048,0,0,0,0,778,0,42320
22109360,9017959,5577345,12595854,7605437,2311306,3342514,2113888,4091587,18783826,6601681,1085693,0,4968,246553,18789,0,0,0,2569,0,8205
30116327,9016218,11371667,6445118,3578438,8586669,4400404,3069263,4914173,17625306,8634486,1897147,977,4072,509188,0,61900,0,0,3308,13923,39479
11395529,10776690,2643669,3116632,10963468,7853766,1291185,2332696,1303024,10464610,3404531,85588,0,0,227735,37360,0,0,10828,0,1792,260623
14858904,10067478,4585633,2963535,5091452,5222517,2030360,1898806,4800135,10948626,5453271,888561,61516,49702,1227374,405900,600434,0,0,0,0,12326
41652818,13559823,4653146,8717563,17280266,4663738,3562873,3932768,4148885,14984441,13271418,1207821,19888,162050,905751,98841,710341,0,0,5570,62964,48205
22479450,8772031,4011482,3655766,6258062,2763561,1652648,508483,2815000,10248349,3968624,157427,0,0,339070,0,815119,0,0,221733,4026,31798
14567641,14357065,4876569,7319180,8087673,7635269,1635001,3373023,4900128,14424145,8762979,512574,23242,28928,584603,505,417580,0,0,0,25764,46841
21824540,17645210,5548597,4588493,5040061,8792921,2652111,2448306,3937405,21695345,15368716,494207,181276,92650,358680,0,559905,43749,0,192854,48659,8091
16525608,3414164,3814615,7775755,2649358,6819059,4042274,2350978,4210079,16577329,8081809,837855,19309,13058,413227,0,567879,0,16244,40680,400056,71569
29503391,9722553,4115247,5973549,9088772,3529832,3730506,5035642,5900498,37104914,12845188,75624,73970,22532,200844,33351,389127,0,39588,37766,141443,59104
30639049,9697712,4821738,6926628,7834681,8978761,1665417,2046431,4266330,21848097,24072078,1355657,124548,26130,36116,10396,1797035,0,1745,6363235,275968,140065
21286700,15077449,6002763,8620082,7397983,9835253,4620987,3621148,7464470,28275578,14400767,525609,0,8136,916136,453752,259873,0,0,23730,11540,44197
31783125,7419352,8495925,12550192,5072787,13481564,2365392,2083037,3199199,21025514,5554246,450201,248220,7232,293610,108480,2400351,0,0,198230,181944,7368
16958696,13167725,6143588,10926895,4072996,19458111,4732975,2845652,4400097,16867757,5633460,735626,244853,39109,11231,7500,126329,0,0,5000,439130,11907
16787422,8327237,4052620,4337129,4017419,3159539,1399853,3180337,4397495,13291790,7574951,5049841,241775,248586,226221,7131706,0,0,0,17899,441928,145882
26866950,10302211,9257280,6975237,4154863,10142415,2789101,2768126,7308443,14806592,6409073,2178770,63519,0,199604,86285,3108740,0,0,104313,73089,31410
16424823,18093685,5550590,6419601,11941218,7156848,1454366,2909557,2944939,20531383,7977677,1204090,133206,149642,336346,0,2704,0,0,5949,333370,14418
9895307,4421640,3406653,5712954,6125752,11662092,1847061,2214988,5395905,11544790,6248839,276780,2107,84147,1296377,0,212874,0,72007,0,3772,111792
