year,month,product_code,y,income_outcome
1997,10,8528,869290,0
1997,11,8414,26036662,1
1997,11,8415,3240918,1
1997,11,8418,17257008,1
1997,11,8421,6458015,1
1997,11,8422,8580134,1
1997,11,8450,3793046,1
1997,11,8508,4362153,1
1997,11,8509,2858289,1
1997,11,8516,6168651,1
1997,11,8528,27462134,1
1997,11,8531,3494602,1
1997,11,8414,28196,0
1997,11,8415,5733,0
1997,11,8418,323210,0
1997,11,8421,1285,0
1997,11,8516,92752,0
1997,11,8528,1278471,0
1997,12,8414,38494113,1
1997,12,8415,4376327,1
1997,12,8418,17756448,1
1997,12,8421,5410912,1
1997,12,8422,6318263,1
1997,12,8450,5419425,1
1997,12,8508,1184487,1
1997,12,8509,4299731,1
1997,12,8516,5168675,1
1997,12,8528,19461916,1
1997,12,8531,2643424,1
1997,12,8414,36953,0
1997,12,8415,28244,0
1997,12,8418,12716,0
1997,12,8509,2000,0
1997,12,8516,22144,0
1998,1,8414,24059589,1
1998,1,8415,8103069,1
1998,1,8418,9805056,1
1998,1,8421,8864431,1
1998,1,8422,9006404,1
1998,1,8450,5495682,1
1998,1,8508,1661591,1
1998,1,8509,4045992,1
1998,1,8516,5058763,1
1998,1,8528,16793782,1
1998,1,8531,2240213,1
1998,1,8414,75668,0
1998,1,8415,28520,0
1998,1,8418,94908,0
1998,1,8450,1020,0
1998,1,8509,407272,0
1998,1,8516,47732,0
1998,2,8414,33629533,1
1998,2,8415,6708718,1
1998,2,8418,16395809,1
1998,2,8421,9782169,1
1998,2,8422,24142946,1
1998,2,8450,7482933,1
1998,2,8508,2481588,1
1998,2,8509,1745663,1
1998,2,8516,3601909,1
1998,2,8528,18739809,1
1998,2,8531,1898609,1
1998,2,8414,69657,0
1998,2,8415,93782,0
1998,2,8418,90949,0
1998,2,8509,3230,0
1998,2,8516,22793,0
1998,2,8528,16320,0
1998,3,8414,43176069,1
1998,3,8415,9097167,1
1998,3,8418,28744001,1
1998,3,8421,17766819,1
1998,3,8422,9454897,1
1998,3,8450,5104416,1
1998,3,8508,872469,1
1998,3,8509,2308902,1
1998,3,8516,7193600,1
1998,3,8528,13480254,1
1998,3,8531,2135439,1
1998,3,8414,1799,0
1998,3,8415,39575,0
1998,3,8418,54864,0
1998,3,8421,8500,0
1998,3,8422,1020,0
1998,3,8450,13532,0
1998,3,8509,81206,0
1998,3,8516,70923,0
1998,3,8528,148194,0
1998,4,8414,29455998,1
1998,4,8415,6327689,1
1998,4,8418,13278013,1
1998,4,8421,7226368,1
1998,4,8422,6110677,1
1998,4,8450,10342670,1
1998,4,8508,4141556,1
1998,4,8509,1970568,1
1998,4,8516,2673844,1
1998,4,8528,17526417,1
1998,4,8531,2013735,1
1998,4,8414,2040,0
1998,4,8415,3720,0
1998,4,8418,113842,0
1998,4,8450,13151,0
1998,4,8509,3400,0
1998,4,8516,63670,0
1998,5,8414,48487146,1
1998,5,8415,6339393,1
1998,5,8418,15492150,1
1998,5,8421,16658971,1
1998,5,8422,8400748,1
1998,5,8450,8151469,1
1998,5,8508,3866101,1
1998,5,8509,3603589,1
1998,5,8516,5126477,1
1998,5,8528,15619138,1
1998,5,8531,2505834,1
1998,5,8414,2448,0
1998,5,8415,32137,0
1998,5,8418,90577,0
1998,5,8421,64999,0
1998,5,8422,42499,0
1998,5,8450,73849,0
1998,5,8509,12580,0
1998,5,8516,443972,0
1998,5,8528,663140,0
1998,6,8414,38260256,1
1998,6,8415,6320682,1
1998,6,8418,19768634,1
1998,6,8421,25756611,1
1998,6,8422,9885299,1
1998,6,8450,10569429,1
1998,6,8508,2296790,1
1998,6,8509,2764570,1
1998,6,8516,3863315,1
1998,6,8528,18461466,1
1998,6,8531,1321284,1
1998,6,8414,59379,0
1998,6,8415,2890,0
1998,6,8421,1619,0
1998,6,8450,25500,0
1998,6,8509,356003,0
1998,6,8516,17026,0
1998,6,8528,1686,0
1998,7,8414,41486738,1
1998,7,8415,5027898,1
1998,7,8418,18688031,1
1998,7,8421,11860978,1
1998,7,8422,5609414,1
1998,7,8450,12332408,1
1998,7,8508,3178850,1
1998,7,8509,1746323,1
1998,7,8516,3233214,1
1998,7,8528,26486179,1
1998,7,8531,2019291,1
1998,7,8414,156473,0
1998,7,8415,16066,0
1998,7,8418,871104,0
1998,7,8421,178271,0
1998,7,8450,836,0
1998,7,8509,1387,0
1998,7,8516,71391,0
1998,8,8414,40295563,1
1998,8,8415,5136532,1
1998,8,8418,16421432,1
1998,8,8421,23602579,1
1998,8,8422,12051059,1
1998,8,8450,6318520,1
1998,8,8508,2074457,1
1998,8,8509,2933163,1
1998,8,8516,5038841,1
1998,8,8528,12882387,1
1998,8,8531,1308611,1
1998,8,8414,131787,0
1998,8,8415,511102,0
1998,8,8418,578488,0
1998,8,8422,2000,0
1998,8,8450,339,0
1998,8,8516,1865,0
1998,8,8528,9183,0
1998,9,8414,39847335,1
1998,9,8415,6469983,1
1998,9,8418,12722781,1
1998,9,8421,10525731,1
1998,9,8422,19559472,1
1998,9,8450,3021065,1
1998,9,8508,2945947,1
1998,9,8509,2136420,1
1998,9,8516,2814915,1
1998,9,8528,19593325,1
1998,9,8531,3499702,1
1998,9,8414,73740,0
1998,9,8415,27200,0
1998,9,8418,10466,0
1998,9,8422,6780,0
1998,9,8450,174406,0
1998,9,8509,7260,0
1998,9,8516,19618,0
1998,9,8528,680,0
1998,10,8414,39423060,1
1998,10,8415,3908072,1
1998,10,8418,19356849,1
1998,10,8421,6572028,1
1998,10,8422,5604661,1
1998,10,8450,28471932,1
1998,10,8508,1421197,1
1998,10,8509,4453006,1
1998,10,8516,8521789,1
1998,10,8528,17188665,1
